RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
21.0,United States,Las Vegas,Las Vegas Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1119,50
22.0,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2023,1120,58
1.0,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1121,57
2.0,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1122,50
3.0,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1123,58
4.0,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1124,53
5.0,China,Shanghai,Chinese Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1125,56
6.0,United States,Miami,Miami Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1126,57
7.0,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1127,63
8.0,Monaco,Monaco,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1128,78
9.0,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1129,70
10.0,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1130,66
11.0,Austria,Spielberg,Austrian Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1131,71
12.0,United Kingdom,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1132,52
13.0,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1133,70
14.0,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1134,44
15.0,Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1135,72
16.0,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1136,53
17.0,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1137,51
18.0,Singapore,Marina Bay,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1138,62
19.0,United States,Austin,United States Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1139,56
20.0,Mexico,Mexico City,Mexico City Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1140,71
21.0,Brazil,São Paulo,São Paulo Grand Prix,Practice 1,Sprint Qualifying,Sprint,Qualifying,Race,2024,1141,69
22.0,United States,Las Vegas,Las Vegas Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2024,1142,50
